date,venue,race_number,runner_name,bet_type,odds,p_mkt,p_mod,p_blend,edge_pct,kelly_pct,stake,won,pnl,race_key
2025-08-18,Addington,7,Impressive Enzo,place,14.4,0.057968465709590904,0.2999999999999997,0.08317488979844473,1.373044535400028,1.4755105455045088,0.3688776363761272,0,-0.3688776363761272,Addington|7|2025-08-18
2025-08-18,Canterbury Park,4,Sarge's Sermon,place,11.8,0.07042550944989968,0.33222822027900156,0.09941317017690153,1.4667407465037128,1.6025500748836856,0.3991596565114277,0,-0.3991596565114277,Canterbury Park|4|2025-08-18
2025-08-18,Del Mar,2,Explora,place,2.5,1.0,0.3333333333333335,0.999999999711465,59.9999999711465,99.99999995191084,24.807990664848155,1,37.21198599727224,Del Mar|2|2025-08-18
2025-08-18,Del Mar,3,Spycatcher,place,2.9,0.36448598130841126,0.3122891585291994,0.3537388775112083,0.891129130431173,1.3601444622370544,0.46395870309006393,1,0.8815215358711215,Del Mar|3|2025-08-18
2025-08-18,Ellis Park,6,Fulleffort,place,6.7,0.1625,0.1929698394583374,0.16826692098499782,1.9013189641714252,2.2348836947278157,0.767266135776944,1,4.373416973928581,Ellis Park|6|2025-08-18
2025-08-18,Ellis Park,9,Semper Primus,place,1.6,1.0,0.21835796589097173,0.9999999996758395,37.49999996758395,99.9999999135572,35.42472177292398,1,21.25483306375439,Ellis Park|9|2025-08-18
2025-08-18,Emerald Downs,3,Kitten's Kid,place,2.1,1.0,0.4672126749499307,0.9999999997421305,52.380952355165434,99.99999995077037,40.73843004942931,0,-40.73843004942931,Emerald Downs|3|2025-08-18
2025-08-18,Gavea,6,Olho Grego,place,1.2,1.0,0.23086006101896928,0.9999999996804612,16.66666663471278,99.9999998082767,30.553822498548566,1,6.1107644997097115,Gavea|6|2025-08-18
2025-08-18,Gavea,7,Safira Do Iguassu,place,1.6,1.0,0.23030001830105917,0.9999999996802593,37.49999996802593,99.99999991473581,32.08151365470074,1,19.248908192820448,Gavea|7|2025-08-18
2025-08-18,Hawthorne,6,Tiz China,place,3.9,0.39217463554649146,0.3749999999999999,0.3887167700989457,13.230651368868923,17.79294494434097,6.5644829760430445,1,19.03700063052483,Hawthorne|6|2025-08-18
2025-08-18,Mountaineer Park,3,Ship Cadet,place,7.1,0.10277368771341983,0.6231369244060185,0.16344084124326833,2.259577082073311,2.6299995545443453,1.095473474805933,0,-1.095473474805933,Mountaineer Park|3|2025-08-18
2025-08-18,Northfield Park,2,Maythehorsebewithu,place,36.1,0.02177283719131319,0.2857142857142857,0.038150426780105155,1.0449595755174408,1.0747305035948609,0.4447140518336211,0,-0.4447140518336211,Northfield Park|2|2025-08-18
2025-08-18,San Isidro,4,Timbrado,place,7.3,1.0,0.19112222113421987,0.9999999996647979,86.3013698294935,99.99999996115912,41.26794399020238,0,-41.26794399020238,San Isidro|4|2025-08-18
2025-08-18,San Isidro,6,Irish Coffee,place,1.6,1.0,0.2518741985378,0.9999999996877154,37.49999996877153,99.9999999167241,30.95095798290593,1,18.57057478974356,San Isidro|6|2025-08-18
2025-08-18,San Isidro,11,Keep Dreaming,place,5.4,0.14285714285714285,0.5649624124025756,0.20082561652981587,1.5640431344630694,1.919507483204678,0.6832218482909744,0,-0.6832218482909744,San Isidro|11|2025-08-18
2025-08-18,Sandown Park,8,Cheeky Chompers,place,5.7,0.18967260880872464,0.38543053402696914,0.22183179291763955,4.639319642641149,5.6264089283094805,1.9930313705317544,1,9.367247441499247,Sandown Park|8|2025-08-18
2025-08-18,Sandown Park,9,Invictus Blue,place,29.2,0.02497359722679869,0.3771750560670247,0.045999769395350165,1.1753194052884415,1.2169973983837759,0.45959429814060276,1,12.960559207564998,Sandown Park|9|2025-08-18
2025-08-18,Saratoga,6,Teleport,place,2.9,1.0,0.3333333333333331,0.999999999711465,65.51724135045684,99.99999995596046,41.00474788825153,1,77.9090209876779,Saratoga|6|2025-08-18
2025-08-18,Saratoga,8,Snow Face Princess,place,4.6,0.1973684210526316,0.3749999999999999,0.22715883625643069,0.9767531908604576,1.2480735216550318,0.7548598667220164,1,2.7174955201992588,Saratoga|8|2025-08-18
2025-08-18,Shepparton,3,Cindy Cabang,place,11.5,0.06483104364916978,0.3749999999999999,0.09644890705739147,0.9492385318261034,1.0396422015238276,0.6358594866710718,1,6.676524610046254,Shepparton|3|2025-08-18
2025-08-18,Shepparton,5,Snow Royale,place,17.1,0.043739740506873764,0.3792261690859451,0.07133339343438969,1.2853861270647,1.3652237747084697,0.8577770355225657,0,-0.8577770355225657,Shepparton|5|2025-08-18
