date,venue,race_number,runner_name,bet_type,odds,p_mkt,p_mod,p_blend,edge_pct,kelly_pct,stake,won,pnl,race_key
2025-07-01,Aix Les Bains,5,Zilya,place,9.2,0.09933774834437087,0.37917374637044043,0.13443576444180014,2.5740112267887083,2.8879150349336724,0.7219787587334181,1,5.920225821614028,Aix Les Bains|5|2025-07-01
2025-07-01,Bulli,4,Sunny Sue,place,2.3,0.7472527472527474,0.2625419124238637,0.659406631010541,22.462402231488877,39.74117317878802,10.523485093782744,0,-10.523485093782744,Bulli|4|2025-07-01
2025-07-01,Bulli,5,Just Brew It,place,3.0,1.0,0.3749999999999999,0.9999999997217968,66.66666663884635,99.99999995826951,23.84918517200544,0,-23.84918517200544,Bulli|5|2025-07-01
2025-07-01,Fort Erie,3,Sunyani,place,8.2,0.1639344262295082,0.24488311462071982,0.17819704210825704,5.624582259606191,6.4057742401070525,1.1457937208053437,0,-1.1457937208053437,Fort Erie|3|2025-07-01
2025-07-01,Gosford,4,Gambino,place,2.7,0.40577163118831566,0.3164128838855736,0.38716618460085317,1.679581423048282,2.6675704954296235,0.46950415674341,1,0.7981570664637971,Gosford|4|2025-07-01
2025-07-01,Gosford,8,Blue Sue,place,38.9,0.0206213066469365,0.3749697731386076,0.039518502049629645,1.3811561175593654,1.4175982314791373,0.2523321977905054,0,-0.2523321977905054,Gosford|8|2025-07-01
2025-07-01,Mont De Marsan,3,Free Vole,place,11.8,0.06943351295593095,0.2857142857142857,0.09452483461855998,0.977907190669558,1.0684541527685916,0.1895106091061784,0,-0.1895106091061784,Mont De Marsan|3|2025-07-01
2025-07-01,Presque Isle Downs,1,The Sinner Is You,place,2.9,0.5,0.321921625446209,0.46282101237713036,11.799342617023377,18.00952294177253,3.1857979868529056,0,-3.1857979868529056,Presque Isle Downs|1|2025-07-01
2025-07-01,Woodbine Mohawk Park,6,Red Beach One,place,12.0,0.07288783269986301,0.2857142857142857,0.09816512604737367,1.4831792714040337,1.6180137506225822,0.27333218784802016,0,-0.27333218784802016,Woodbine Mohawk Park|6|2025-07-01
2025-07-02,Clairefontaine,5,Bobby Jean,place,1.6,1.0,0.14672301435029397,0.9999999996428006,37.499999964280065,99.99999990474683,16.824736463945577,1,10.094841878367347,Clairefontaine|5|2025-07-02
2025-07-02,Horseshoe Indianapolis,6,Run Away Rojo,place,3.8,0.3333333333333333,0.4277897804319141,0.35144521277215873,8.828731803531664,11.98185030479297,2.318301949798981,1,6.491245459437147,Horseshoe Indianapolis|6|2025-07-02
2025-07-02,Horseshoe Indianapolis,7,C'est Magnifique,place,10.1,0.08040739748056822,0.3418501688171127,0.11100941085266991,1.1999509862570896,1.331813731999628,0.27929809800459654,0,-0.27929809800459654,Horseshoe Indianapolis|7|2025-07-02
2025-07-02,Invercargill,9,King Kobori,place,10.3,0.08205973841022374,0.2999999999999997,0.10897952136561899,1.1892142724842292,1.3170867749018895,0.2752900202119328,0,-0.2752900202119328,Invercargill|9|2025-07-02
2025-07-02,Mountaineer Park,2,Crowned Jewel,place,7.9,0.09564300142405954,0.4698886737178515,0.13926601912792144,1.2683740646908803,1.452196392906949,0.3025304296271888,1,2.0874599644276026,Mountaineer Park|2|2025-07-02
2025-07-02,Thistledown,7,Dance My Way,place,3.3,0.24615384615384617,0.815519430126484,0.3547718564351987,5.174155340489567,7.4237880972241586,1.585311068000431,0,-1.585311068000431,Thistledown|7|2025-07-02
2025-07-03,Bunbury Fibre Sand,1,Gold Enigma,place,4.5,0.24168420578999045,0.3248627656473358,0.25710369065955707,3.488146843733486,4.48476022765734,0.9399227087838911,1,3.2897294807436186,Bunbury Fibre Sand|1|2025-07-03
2025-07-03,Finger Lakes,7,Practical Rachel,place,13.1,0.08635004981733643,0.32002644971426897,0.11527456447974858,3.893868661715316,4.215675989129805,0.918198718415803,0,-0.918198718415803,Finger Lakes|7|2025-07-03
2025-07-03,Funabashi,6,Sail On Fire,place,5.5,0.1464609734017738,0.5049130799913171,0.19683802509791892,1.50198432797371,1.8357586230789795,0.3956249136083164,0,-0.3956249136083164,Funabashi|6|2025-07-03
