market,blend,w,overround,min_edge,min_kelly,kelly_frac,max_picks,bet_type,picks,profit,roi,hit_rate,kelly_avg,max_drawdown,sharpe,final_bankroll
tote,logit,0.2,proportional,0.6,0.4,0.1,1,win,16,-73.95561002094541,-1.0,0.0,4.755349102689874,-0.05139654377076215,-0.7229466176350678,926.0443899790549
tote,logit,0.2,proportional,0.6,0.4,0.3,1,win,16,-209.5821370681699,-1.0,0.0,4.755349102689874,-0.1488582497376623,-0.6550618933959743,790.4178629318302
tote,logit,0.2,proportional,2.0,0.4,0.1,1,win,3,-64.75105461109638,-1.0,0.0,22.06630059539255,-0.041967759179741104,-0.6775753491043465,935.2489453889036
tote,logit,0.2,proportional,2.0,0.4,0.3,1,win,3,-185.75862295600757,-1.0,0.0,22.06630059539255,-0.12320449309859431,-0.6181604233235249,814.2413770439925
tote,logit,0.2,power,0.6,0.4,0.1,1,win,136,-133.62192485056522,-0.7633891693855628,0.014705882352941176,1.3820378595561076,-0.1135514388032996,-0.6244020785646698,866.3780751494348
tote,logit,0.2,power,0.6,0.4,0.3,1,win,136,-354.6542864086188,-0.777462392979077,0.014705882352941176,1.3820378595561076,-0.30762516331885925,-0.46389769295916644,645.3457135913814
tote,logit,0.2,power,2.0,0.4,0.1,1,win,4,-63.170317772177725,-1.0,0.0,16.147566927073193,-0.04146775210813473,-0.6950404257540741,936.8296822278223
tote,logit,0.2,power,2.0,0.4,0.3,1,win,4,-181.20174013607655,-1.0,0.0,16.147566927073193,-0.12153238255326117,-0.6374742775977961,818.7982598639235
tote,logit,0.4,proportional,0.6,0.4,0.1,1,win,146,-197.8914894576186,-0.8290809616807413,0.0136986301369863,1.7964540794369002,-0.18337026041985938,-0.45347351859459395,802.1085105423814
tote,logit,0.4,proportional,0.6,0.4,0.3,1,win,146,-487.2378094971164,-0.8149010104454317,0.0136986301369863,1.7964540794369002,-0.45834272147804495,-0.12594479700945493,512.7621905028832
tote,logit,0.4,proportional,2.0,0.4,0.1,1,win,28,-108.92977103513516,-1.0,0.0,4.101187974189111,-0.09279799495563971,-0.6425352264945708,891.0702289648648
tote,logit,0.4,proportional,2.0,0.4,0.3,1,win,28,-294.66061453197824,-1.0,0.0,4.101187974189111,-0.2549134490741891,-0.50924088319576,705.3393854680216
tote,logit,0.4,power,0.6,0.4,0.1,1,win,150,-206.815598260282,-0.7104283239084941,0.02666666666666667,2.1127415378465138,-0.2065183801216888,-0.34289919845721956,793.1844017397177
tote,logit,0.4,power,0.6,0.4,0.3,1,win,150,-505.86153619101935,-0.6807672402515819,0.02666666666666667,2.1127415378465138,-0.5044446461971284,0.04905088845755524,494.13846380898013
tote,logit,0.4,power,2.0,0.4,0.1,1,win,95,-220.32702935258922,-0.8551328213394224,0.010526315789473684,3.021403823619492,-0.20680307496740138,-0.42547319165204106,779.6729706474114
tote,logit,0.4,power,2.0,0.4,0.3,1,win,95,-529.8256655317093,-0.8416236328072098,0.010526315789473684,3.021403823619492,-0.504479912747807,-0.047955370694706886,470.1743344682903
