market,blend,w,overround,min_edge,min_kelly,kelly_frac,max_picks,bet_type,picks,profit,roi,hit_rate,kelly_avg,max_drawdown,sharpe,final_bankroll
tote,logit,0.2,proportional,0.6,0.4,0.3,1,win,43,1971.479060996597,2.5785132224809177,0.046511627906976744,4.21540240771245,-0.7543049079040239,1.4070829172949701,2971.4790609965967
tote,logit,0.2,proportional,1.8,0.4,0.3,1,win,5,2285.214413779019,3.8925322976891947,0.4,29.57036705372882,-0.7559708287489225,1.4282014887134669,3285.214413779019
tote,logit,0.2,power,0.6,0.4,0.3,1,win,173,1587.2292883699265,0.9356872467905558,0.04046242774566474,1.7906641174880757,-0.7535973761420758,1.3765273821355968,2587.229288369927
tote,logit,0.2,power,1.8,0.4,0.3,1,win,15,2136.170409283864,3.1320660535317284,0.13333333333333333,10.669267138660434,-0.745587671220958,1.4096733727930386,3136.170409283864
tote,logit,0.4,proportional,0.6,0.4,0.3,1,win,196,968.002633318156,0.4325129553216361,0.04591836734693878,2.2476606181137235,-0.7012397485051205,1.2352089980274867,1968.0026333181568
tote,logit,0.4,proportional,1.8,0.4,0.3,1,win,83,1213.7401732717783,0.7474585380621169,0.060240963855421686,4.009720834616714,-0.7217227616494116,1.2791136470534943,2213.7401732717794
tote,logit,0.4,power,0.6,0.4,0.3,1,win,205,1072.1889829933523,0.38460620816623214,0.06829268292682927,2.547126798583084,-0.7035623494436204,1.2416185400431694,2072.1889829933534
tote,logit,0.4,power,1.8,0.4,0.3,1,win,147,585.0600652697631,0.23837989701545323,0.04081632653061224,3.444672413625471,-0.7122055008343893,1.1868039941163677,1585.0600652697626
