market,blend,w,overround,min_edge,min_kelly,kelly_frac,max_picks,bet_type,picks,profit,roi,hit_rate,kelly_avg,max_drawdown,sharpe,final_bankroll
tote,logit,0.2,proportional,0.6,0.4,0.1,1,win,43,833.4422841348561,3.9425838707785945,0.046511627906976744,4.21540240771245,-0.5069088586256841,1.0177406493338723,1833.4422841348562
tote,logit,0.2,proportional,0.6,0.4,0.3,1,win,43,1971.479060996597,2.5785132224809177,0.046511627906976744,4.21540240771245,-0.7543049079040239,1.4070829172949701,2971.4790609965967
tote,logit,0.2,proportional,2.0,0.4,0.1,1,win,5,895.7628346272758,5.392127027633382,0.4,29.57036705372882,-0.5080249928089281,1.0336290530930345,1895.7628346272759
tote,logit,0.2,proportional,2.0,0.4,0.3,1,win,5,2285.214413779019,3.8925322976891947,0.4,29.57036705372882,-0.7559708287489225,1.4282014887134669,3285.214413779019
tote,logit,0.2,power,0.6,0.4,0.1,1,win,173,729.5774112390877,1.7523555724510074,0.04046242774566474,1.7906641174880757,-0.5001143763021867,0.9800140039712559,1729.5774112390873
tote,logit,0.2,power,0.6,0.4,0.3,1,win,173,1587.2292883699265,0.9356872467905558,0.04046242774566474,1.7906641174880757,-0.7535973761420758,1.3765273821355968,2587.229288369927
tote,logit,0.2,power,2.0,0.4,0.1,1,win,11,855.7785047036094,4.8847744930371055,0.18181818181818182,13.83295164799722,-0.4949405218268734,1.0132811469347827,1855.7785047036095
tote,logit,0.2,power,2.0,0.4,0.3,1,win,11,2211.3845162618622,3.4515083425450293,0.18181818181818182,13.83295164799722,-0.7455876712209581,1.413801262030986,3211.3845162618622
tote,logit,0.4,proportional,0.6,0.4,0.1,1,win,196,501.68071632501676,0.8699392645689622,0.04591836734693878,2.2476606181137235,-0.4402017376377512,0.8430750661245481,1501.6807163250155
tote,logit,0.4,proportional,0.6,0.4,0.3,1,win,196,968.002633318156,0.4325129553216361,0.04591836734693878,2.2476606181137235,-0.7012397485051205,1.2352089980274867,1968.0026333181568
tote,logit,0.4,proportional,2.0,0.4,0.1,1,win,70,597.4213139991323,1.5476956507910151,0.07142857142857142,4.414079560008032,-0.45891949064583965,0.8884286091576741,1597.421313999132
tote,logit,0.4,proportional,2.0,0.4,0.3,1,win,70,1378.1740135680268,0.9193429996127511,0.07142857142857142,4.414079560008032,-0.7302748076734433,1.2998350040945512,2378.1740135680266
