NN DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Caulfield  R4: 1) MATHLETIC (#6 — Daniel Stackhouse)
Caulfield  R4: 2) FREAK OF NATURE (#11 — Ethan Brown)
Caulfield  R4: 3) STYLISH (#7 — Blake Shinn)

Caulfield  R5: 1) TYCOON STAR* (#1 — Mark Zahra)
Caulfield  R5: 2) HAY STREET (#8 — Ethan Brown)
Caulfield  R5: 3) EXPRESS CLASS* (#7 — Patrick Moloney)

Caulfield  R6: 1) THE PLAYWRIGHT** (#1 — Blake Shinn)
Caulfield  R6: 2) THANKS GORGEOUS (#8 — Damian Lane)
Caulfield  R6: 3) CUSTOM (#9 — Ethan Brown)

Caulfield  R7: 1) BRUDENELL (#2 — Mark Zahra)
Caulfield  R7: 2) LOSESOMEWINMORE* (#4 — Craig Williams)
Caulfield  R7: 3) RECOMMENDATION (#3 — Ben Melham)

Caulfield  R8: 1) EVAPORATE* (#6 — Blake Shinn)
Caulfield  R8: 2) ANISETTE (#9 — Mark Zahra)
Caulfield  R8: 3) ATTRITION** (#3 — Beau Mertens)

Caulfield  R9: 1) FORGOT YOU (#4 — Blake Shinn)
Caulfield  R9: 2) RUNNING BY* (#6 — John Allen)
Caulfield  R9: 3) EL ROCKO* (#9 — Jett Stanley)

=========

Doomben  R1: 1) AOLANI* (#3 — Emily Lang)
Doomben  R1: 2) VIADELAMORE (#11 — Stacey Callow)
Doomben  R1: 3) CARACORON (#7 — Jake Bayliss)

Doomben  R2: 1) THE RIGHT WAY* (#5 — Emily Lang)
Doomben  R2: 2) EL PENSADOR* (#6 — Cejay Graham)
Doomben  R2: 3) TAPILDOODLEDO** (#4 — Ben Thompson)

Doomben  R3: 1) BRIGHT BLONDE (#7 — Cejay Graham)
Doomben  R3: 2) ROSE OF SHIRAZ* (#4 — Cody Collis)
Doomben  R3: 3) ZOUTASTIC** (#6 — Chad Lever)

Doomben  R4: 1) OVERRIDING* (#1 — Jace McMurray)
Doomben  R4: 2) CATAHOULA* (#3 — Tyler Schiller)
Doomben  R4: 3) DECISIVE LASS (#4 — Stacey Callow)

Doomben  R5: 1) BRITANNIA ROSE (#10 — Cejay Graham)
Doomben  R5: 2) LOVE TO TORQUE (#6 — Jake Bayliss)
Doomben  R5: 3) IDYLLIC AFFAIR (#5 — Kyle Wilson-Taylor)

Doomben  R6: 1) THEBLADE* (#15 — Tyler Schiller)
Doomben  R6: 2) ROYAL COMMODORE (#12 — Chad Lever)
Doomben  R6: 3) OUROBOROS (#10 — Damien Thornton)

Doomben  R7: 1) NETTUNO* (#2 — Ryan Maloney)
Doomben  R7: 2) HOLD ON HONEY* (#4 — Corey Sutherland)
Doomben  R7: 3) GOLDSBOROUGH (#5 — Emily Lang)

Doomben  R8: 1) MUSCHIALLI (#17 — Emily Lang)
Doomben  R8: 2) MY SNOW QUEEN (#5 — Cody Collis)
Doomben  R8: 3) ONE 'N' ONLY (#16 — Cejay Graham)

Doomben  R9: 1) SLIPPIN' JIMMY* (#4 — Jace McMurray)
Doomben  R9: 2) HIGH BLUE SEA* (#7 — Tyler Schiller)
Doomben  R9: 3) TALTARNI FIELDS (#1 — Corey Sutherland)

=========

Morphettville  R1: 1) LADY ZELDA* (#6 — Kayla Crowther)
Morphettville  R1: 2) WHINE FOR WINE (#10 — Taylor Johnstone)
Morphettville  R1: 3) JAKUBIK (#1 — Emily Finnegan)

Morphettville  R2: 1) BELTHIL* (#2 — Caitlin Jones)
Morphettville  R2: 2) FLASHING STEEL (#4 — Todd Pannell)
Morphettville  R2: 3) VALIDATED* (#3 — Connor Murtagh)

Morphettville  R3: 1) THE GOV* (#9 — Kayla Crowther)
Morphettville  R3: 2) WINNING REVOLUTION (#2 — Rochelle Milnes)
Morphettville  R3: 3) KARAVAS* (#4 — Jake Toeroek)

Morphettville  R4: 1) SMILING ASSASSIN (#8 — Kayla Crowther)
Morphettville  R4: 2) TIKEMYSON (#5 — Jake Toeroek)
Morphettville  R4: 3) PARADISE STORM (#1 — Todd Pannell)

Morphettville  R5: 1) SQUAD (#3 — Caitlin Tootell)
Morphettville  R5: 2) BLANC VISAGE (#10 — Kayla Crowther)
Morphettville  R5: 3) BRISTLER (#2 — Alana Livesey)

Morphettville  R6: 1) SILENT EMMY (#6 — Rochelle Milnes)
Morphettville  R6: 2) EIGHT ON THE DOT (#13 — Unknown)
Morphettville  R6: 3) HARLEY'N'ROSE (#5 — Alana Livesey)

Morphettville  R7: 1) DANCING STORM* (#7 — Jake Toeroek)
Morphettville  R7: 2) COLMAR* (#1 — Rochelle Milnes)
Morphettville  R7: 3) TIPSY VIXEN (#9 — Taylor Johnstone)

Morphettville  R8: 1) STOKOMO (#2 — Todd Pannell)
Morphettville  R8: 2) NEVER SURRENDER (#8 — Jason Holder)
Morphettville  R8: 3) AMBER NOOK (#5 — Taylor Johnstone)

Morphettville  R9: 1) JUSTICA'S BONUS (#4 — Caitlin Tootell)
Morphettville  R9: 2) ICE SYMPHONY (#1 — Todd Pannell)
Morphettville  R9: 3) COPPER BULLET* (#7 — Caitlin Jones)

=========

Belmont  R1: 1) COUNTRY GOD* (#2 — Chris Parnham)
Belmont  R1: 2) CAPE LEEUWIN* (#1 — Brad Parnham)
Belmont  R1: 3) BUNDABERG* (#3 — Clint Johnston-Porter)

Belmont  R2: 1) MULTINATIONAL (#4 — Chris Parnham)
Belmont  R2: 2) INVESTMENTSTRATEGY** (#5 — Brad Parnham)
Belmont  R2: 3) STARRY HEIGHTS* (#2 — Chanel Cooper)

Belmont  R3: 1) MADHI GIRL* (#3 — William Pike)
Belmont  R3: 2) ROCKING GEM (#7 — Clint Johnston-Porter)
Belmont  R3: 3) HANCHI* (#5 — Chris Parnham)

Belmont  R4: 1) SNOW GOD* (#8 — Brad Parnham)
Belmont  R4: 2) SCULLY (#5 — Chris Parnham)
Belmont  R4: 3) IMMORTAL BLISS (#3 — William Pike)

Belmont  R5: 1) ON PATROL (#3 — Chris Parnham)
Belmont  R5: 2) STREET PARADE (#1 — Taj Dyson)
Belmont  R5: 3) MAI ALOHA (#11 — Chloe Azzopardi)

Belmont  R6: 1) ALASKAN (#5 — Chris Parnham)
Belmont  R6: 2) ADMIRED* (#8 — Jason Whiting)
Belmont  R6: 3) TRUE PLAYER (#7 — William Pike)

Belmont  R7: 1) COLD SHIZZLE* (#2 — Brad Parnham)
Belmont  R7: 2) EXCELTRAIN* (#3 — Clint Johnston-Porter)
Belmont  R7: 3) BIGDAYONIT (#6 — Jason Whiting)

Belmont  R8: 1) AUTUMN REBEL (#1 — Brad Parnham)
Belmont  R8: 2) LOMBADINA (#6 — Clint Johnston-Porter)
Belmont  R8: 3) HOSTILE TALK (#2 — William Pike)

=========

Roma  R1: 1) ABLETT** (#2 — Chelsea Francis)
Roma  R1: 2) TURNSTAR (#5 — Matthew Gray)
Roma  R1: 3) FLANK SPEED** (#1 — Isabel Jessop)

Roma  R2: 1) IL TORO D'ORO* (#1 — Matthew Gray)
Roma  R2: 2) STORM DREAMER* (#5 — Paul Randall)
