LGBM Rank DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Caulfield  R3: 3) IMPENDING SHADOW* (#15 — Rose Hammond)

Caulfield  R4: 1) EYE OF THE EAGLE (#14 — Zac Spain)
Caulfield  R4: 2) HOME RULE (#3 — Jaylah Kennedy)
Caulfield  R4: 3) RHEINBERG (#2 — Jamie Mott)

Caulfield  R5: 1) TYCOON STAR* (#1 — Mark Zahra)
Caulfield  R5: 2) SHINING SMILE (#2 — Daniel Stackhouse)
Caulfield  R5: 3) SHAGGY* (#4 — Ben Melham)

Caulfield  R6: 1) SIGNATURE SCENT (#6 — Craig Williams)
Caulfield  R6: 2) THE PLAYWRIGHT** (#1 — Blake Shinn)
Caulfield  R6: 3) SCENIC POINT (#4 — Daniel Stackhouse)

Caulfield  R7: 1) LOSESOMEWINMORE* (#4 — Craig Williams)
Caulfield  R7: 2) ROYAL INSIGNIA* (#8 — Jordan Childs)
Caulfield  R7: 3) GLINT OF SILVER (#6 — Michael Dee)

Caulfield  R8: 1) ATTRITION** (#3 — Beau Mertens)
Caulfield  R8: 2) DESERT LIGHTNING (#5 — Ben Melham)
Caulfield  R8: 3) EVAPORATE* (#6 — Blake Shinn)

Caulfield  R9: 1) TOO DARN DISCREET (#12 — Declan Bates)
Caulfield  R9: 2) RUNNING BY* (#6 — John Allen)
Caulfield  R9: 3) MUNHAMEK (#3 — Ben Melham)

=========

Doomben  R1: 1) CAVALRY MAN (#2 — Ben Thompson)
Doomben  R1: 2) AOLANI* (#3 — Emily Lang)
Doomben  R1: 3) WALSH BAY* (#9 — Siobhan Rutledge)

Doomben  R2: 1) ZOOLOGY* (#2 — Rob Thorburn)
Doomben  R2: 2) TAPILDOODLEDO** (#4 — Ben Thompson)
Doomben  R2: 3) THE RIGHT WAY* (#5 — Emily Lang)

Doomben  R3: 1) CERTAINLYCAN (#3 — Angela Jones)
Doomben  R3: 2) ROSE OF SHIRAZ* (#4 — Cody Collis)
Doomben  R3: 3) ZOUTASTIC** (#6 — Chad Lever)

Doomben  R4: 1) CATAHOULA* (#3 — Tyler Schiller)
Doomben  R4: 2) SIMPLY AMAZING (#5 — Andrew Mallyon)
Doomben  R4: 3) OCEAN ZAR (#8 — Ben Thompson)

Doomben  R5: 1) LONESOME SOUL (#9 — Tahlia Fenlon)
Doomben  R5: 2) DESTINYS SUMMIT* (#1 — Micheal Hellyer)
Doomben  R5: 3) WANNABE BRUTAL (#3 — Ben Thompson)

Doomben  R6: 1) THEBLADE* (#15 — Tyler Schiller)
Doomben  R6: 2) SPYWIRE (#13 — Ryan Maloney)
Doomben  R6: 3) ESTRONDO (#7 — Angela Jones)

Doomben  R7: 1) NETTUNO* (#2 — Ryan Maloney)
Doomben  R7: 2) ALL THAT PIZZAZZ (#3 — Ben Thompson)
Doomben  R7: 3) HOLD ON HONEY* (#4 — Corey Sutherland)

Doomben  R8: 1) TERMAGANT* (#6 — Damien Thornton)
Doomben  R8: 2) THE ASTRONOMER* (#7 — Tahlia Fenlon)
Doomben  R8: 3) BRING ME KASH (#15 — Bailey Wheeler)

Doomben  R9: 1) HIGH BLUE SEA* (#7 — Tyler Schiller)
Doomben  R9: 2) SLIPPIN' JIMMY* (#4 — Jace McMurray)
Doomben  R9: 3) LITTLE BEGINNINGS* (#8 — Andrew Mallyon)

=========

Morphettville  R1: 1) KHABY* (#5 — Matt Chadwick)
Morphettville  R1: 2) TIDDY WIDDY* (#9 — Alana Livesey)
Morphettville  R1: 3) LADY ZELDA* (#6 — Kayla Crowther)

Morphettville  R2: 1) IMA SHELBY* (#8 — Felicity Atkinson)
Morphettville  R2: 2) BELTHIL* (#2 — Caitlin Jones)
Morphettville  R2: 3) WATADEEL (#1 — Jacob Opperman)

Morphettville  R3: 1) ZANTHRON* (#3 — Felicity Atkinson)
Morphettville  R3: 2) THE GOV* (#9 — Kayla Crowther)
Morphettville  R3: 3) KARAVAS* (#4 — Jake Toeroek)

Morphettville  R4: 1) LAVISH THINKER* (#6 — Jacob Opperman)
