LGBM Rank DaySlip — 2025-08-15  (meets: 6, 21, 24, 26, 25)
Taree  R6: 1) BUFFETT (#3 — Teighan Worsnop)
Taree  R6: 2) DUBAI DAME (#8 — Anna Roper)
Taree  R6: 3) SWEDEN* (#13 — Kacie Adams)

Taree  R7: 1) KAYZ TIME (#1 — Jett Newman)
Taree  R7: 2) NIKODY'S DIEGO (#10 — Emily Farr)
Taree  R7: 3) SNEAKY RICH (#3 — Courtney Bellamy)

Taree  R8: 1) WILD CHAP* (#1 — Matthew McGuren)
Taree  R8: 2) RUN RORY RUN* (#10 — Teighan Worsnop)
Taree  R8: 3) STARZAM (#5 — Ben Looker)

=========

Tamworth  R1: 1) BILLABONG ALVIN** (#2 — Aaron Bullock)
Tamworth  R1: 2) PARISSIDENT (#7 — Shannen Llewellyn)
Tamworth  R1: 3) GREAT COSMIC* (#1 — Siena Grima)

Tamworth  R2: 1) POWER CRUISE (#9 — Andrew Gibbons)
Tamworth  R2: 2) AETERNUS BELLATOR* (#1 — Donovan Dillon)
Tamworth  R2: 3) SETHNIQUE* (#5 — Kody Nestor)

Tamworth  R3: 1) KICKOFF (#6 — Aaron Bullock)
Tamworth  R3: 2) CRIMINAL ART* (#3 — Billy Cray)
Tamworth  R3: 3) WOOTTON PLEASE* (#12 — Andrew Gibbons)

Tamworth  R4: 1) BELLINI SPRITZ (#4 — Aaron Bullock)
Tamworth  R4: 2) COASTAL GROOVE (#1 — Shannen Llewellyn)
Tamworth  R4: 3) PRIZES GALORE (#8 — Zoe Hunt)

Tamworth  R5: 1) POINT OUT* (#2 — Aaron Bullock)
Tamworth  R5: 2) PAPPIANA (#4 — Zoe Hunt)
Tamworth  R5: 3) SUIT DAY (#3 — Mikayla Weir)

Tamworth  R6: 1) MAGIC SORCERER (#13 — Shannen Llewellyn)
Tamworth  R6: 2) FREEDOM TO ROAM* (#12 — Siena Grima)
Tamworth  R6: 3) ARAMBYS (#8 — Donovan Dillon)

Tamworth  R7: 1) WITHSTAND (#10 — Shannen Llewellyn)
Tamworth  R7: 2) OENOLOGY (#3 — Kody Nestor)
Tamworth  R7: 3) GEO (#1 — Leeshelle Small)

Tamworth  R8: 1) CUMNOCK (#2 — Aaron Bullock)
Tamworth  R8: 2) LINE OF LAW (#9 — Shannen Llewellyn)
Tamworth  R8: 3) SEMECO* (#7 — Andrew Gibbons)

