LGBM Regression DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Caulfield  R3: 2) EAGLE EXPRESS (#16 — Jye McNeil)
Caulfield  R3: 3) KIRA (#17 — Daniel Moor)

Caulfield  R4: 1) SPANISH BLAZE (#8 — Jye McNeil)
Caulfield  R4: 2) CAPPER THIRTYNINE (#9 — Luke Cartwright)
Caulfield  R4: 3) FIRE OF ETNA (#5 — Tom Prebble)

Caulfield  R5: 1) SONOFKIRK (#6 — Jye McNeil)
Caulfield  R5: 2) SHAGGY* (#4 — Ben Melham)
Caulfield  R5: 3) EXPRESS CLASS* (#7 — Patrick Moloney)

Caulfield  R6: 1) SEMELLE ROUGE (#11 — Beau Mertens)
Caulfield  R6: 2) MY GLADIOLA (#3 — Jamie Mott)
Caulfield  R6: 3) THE PLAYWRIGHT** (#1 — Blake Shinn)

Caulfield  R7: 1) KIKO (#9 — Jye McNeil)
Caulfield  R7: 2) POP AWARD (#10 — Matt Cartwright)
Caulfield  R7: 3) ROYAL INSIGNIA* (#8 — Jordan Childs)

Caulfield  R8: 1) ATTRITION** (#3 — Beau Mertens)
Caulfield  R8: 2) YELLOW SAM (#11 — Jamie Mott)
Caulfield  R8: 3) HERE TO SHOCK (#2 — Daniel Stackhouse)

Caulfield  R9: 1) CADMUS (#8 — Jye McNeil)
Caulfield  R9: 2) EL ROCKO* (#9 — Jett Stanley)
Caulfield  R9: 3) REVELARE (#11 — Ryan Hurdle)

=========

Doomben  R1: 1) DRACENA (#4 — Anthony Allen)
Doomben  R1: 2) SIZZLING GAL (#1 — Jace McMurray)
Doomben  R1: 3) WALSH BAY* (#9 — Siobhan Rutledge)

Doomben  R2: 1) ZOOLOGY* (#2 — Rob Thorburn)
Doomben  R2: 2) TAPILDOODLEDO** (#4 — Ben Thompson)
Doomben  R2: 3) EL PENSADOR* (#6 — Cejay Graham)

Doomben  R3: 1) JEMOMA ALPILAGE (#11 — Taylor Marshall)
Doomben  R3: 2) ARALETTA (#2 — Andrew Mallyon)
Doomben  R3: 3) ZOUTASTIC** (#6 — Chad Lever)

Doomben  R4: 1) OVERRIDING* (#1 — Jace McMurray)
Doomben  R4: 2) CINQUE TERRE (#6 — Emily Lang)
Doomben  R4: 3) YENDY (#10 — Cejay Graham)

Doomben  R5: 1) AUSTRALASIA (#13 — Siobhan Rutledge)
Doomben  R5: 2) DESTINYS SUMMIT* (#1 — Micheal Hellyer)
