date,meeting_number,meeting_venue,race_number,race_name,distance,track_condition,weather,advertised_start,runner_number,runner_name,barrier,jockey,win_fixed,place_fixed,win_tote,place_tote,finish_position,advertised_start_iso
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,1,Opawa Go Girl,1,,,,12.9,2.2,2.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,2,Big Time Taxi,2,,,,5.3,1.6,4.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,3,Big Time Ronald,3,,,,3.6,1.3,3.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,4,Thrilling Carlos,4,,,,,,,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,5,Big Time Dixie,5,,,,2.3,1.3,1.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,6,Sangria Affair,6,,,,21.4,4.0,5.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,7,Goldstar Whitsy,7,,,,42.1,6.4,7.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,8,Goldstar Blondie,8,,,,10.2,2.8,6.0,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,9,Opawa Ava,0,,,,,,,
2024-07-30,3,Palmerston North,5,MARK ROSANOWSKI: BASE SOLUTIONS C1 375M PBD,,,FINE,,10,Arthur Daley,4,,,,22.9,3.8,8.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,1,Amelia Ate It,1,,,,,,,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,2,Straight Shot,2,,,,5.3,1.5,6.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,3,Goldstar Phoenix,3,,,,2.2,1.4,4.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,4,Calypso King,4,,,,25.2,5.0,5.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,5,Losing Days,5,,,,16.3,2.6,8.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,6,Kambia Bale,6,,,,9.1,2.3,2.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,7,Social Virtigo,7,,,,37.7,5.8,1.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,8,Goldstar Graelin,8,,,,13.1,3.4,7.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,9,Replica Rebel,1,,,,4.2,1.3,3.0,
2024-07-30,3,Palmerston North,6,BRIAN MARTIN: COURTESY FORD C1 REVERSE CRITERIA,,,FINE,,10,Big Time Cindy,0,,,,,,,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,1,Sweet Buddy,1,,,,21.9,4.9,5.0,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,2,Grande Vue Ace,2,,,,6.0,1.5,2.0,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,3,Maestro Mojito,3,,,,46.2,10.7,3.0,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,4,Bit Of Bacardi,4,,,,76.7,18.2,4.0,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,5,Vacant Box,5,,,,,,,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,6,Chief Dribble,6,,,,1.0,1.0,1.0,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,7,Reckless Eric,7,,,,,,,
2024-07-30,3,Palmerston North,7,"PIP, MARK, ANDY: PROFESSIONAL CONCRETE SERVICES",,,FINE,,8,Adobe Dazzler,8,,,,,,,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,1,Sedgebrook Flyer,1,,,,7.1,1.9,6.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,2,Nighthawk Swift,2,,,,25.9,5.9,5.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,3,Zipping Tracker,3,,,,16.9,3.4,4.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,4,End Of Era,4,,,,1.4,1.0,1.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,5,Goldstar Tookie,5,,,,23.7,3.6,7.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,6,Opawa Maia,6,,,,20.3,4.5,8.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,7,Adobe Don,7,,,,22.7,4.0,3.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,8,Shaun The Chaser,8,,,,8.1,1.8,2.0,
2024-07-30,3,Palmerston North,8,"ANDY MCCOOK: RED SNAPPER SEAFOODS, CHRISTCHURCH",,,FINE,,9,Big Time Battle,0,,,,,,,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,1,King Harvest,1,,,,3.1,1.4,3.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,2,Cliff Top Winnie,2,,,,14.6,2.3,2.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,3,Opawa Tesla,3,,,,3.1,1.0,1.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,4,Opawa Danny,4,,,,,,,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,5,Bow Belle Beth,5,,,,74.6,9.7,7.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,6,Big Time Aly,6,,,,4.4,2.0,6.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,7,Big Time Ivana,7,,,,13.0,3.1,5.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,8,Highview Amber,8,,,,10.5,2.8,4.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,9,No Overtime,4,,,,14.0,4.0,8.0,
2024-07-30,3,Palmerston North,9,JUSTIN EVANS: GOLDSTAR RACING KENNELS C3 375M,,,FINE,,10,Adobe Drake,0,,,,,,,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,1,Hot Milo,1,,,,16.6,2.4,5.0,
